question_id,Source,question,answer_a,answer_b,answer_c,answer_d,answer_e,answer_f,answer_g,correct_answer,category,subdomain,age_group,pedagogical_subdomain,year,secondary_category,question_id_original,pred_gemma-3-27b,Latency_gemma-3-27b,TokensUsed_gemma-3-27b,TokensUsedCompletion_gemma-3-27b,TokensUsedReasoning_gemma-3-27b,pred_gemma-3-4b-it,Latency_gemma-3-4b-it,TokensUsed_gemma-3-4b-it,TokensUsedCompletion_gemma-3-4b-it,TokensUsedReasoning_gemma-3-4b-it,pred_o4-mini-2025-04-16,Latency_o4-mini-2025-04-16,TokensUsed_o4-mini-2025-04-16,TokensUsedCompletion_o4-mini-2025-04-16,TokensUsedReasoning_o4-mini-2025-04-16,pred_qwen-3-32b,Latency_qwen-3-32b,TokensUsed_qwen-3-32b,TokensUsedCompletion_qwen-3-32b,TokensUsedReasoning_qwen-3-32b,pred_fw-deepseek-r1-0528,Latency_fw-deepseek-r1-0528,TokensUsed_fw-deepseek-r1-0528,TokensUsedCompletion_fw-deepseek-r1-0528,TokensUsedReasoning_fw-deepseek-r1-0528,pred_claude-sonnet-4-5-20250929,Latency_claude-sonnet-4-5-20250929,TokensUsed_claude-sonnet-4-5-20250929,TokensUsedCompletion_claude-sonnet-4-5-20250929,TokensUsedReasoning_claude-sonnet-4-5-20250929,pred_gemini-2.5-flash-preview-09-2025,Latency_gemini-2.5-flash-preview-09-2025,TokensUsed_gemini-2.5-flash-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-preview-09-2025,pred_gemini-2.5-flash-lite-preview-09-2025,Latency_gemini-2.5-flash-lite-preview-09-2025,TokensUsed_gemini-2.5-flash-lite-preview-09-2025,TokensUsedCompletion_gemini-2.5-flash-lite-preview-09-2025,TokensUsedReasoning_gemini-2.5-flash-lite-preview-09-2025,pred_gemini-3-pro-preview,Latency_gemini-3-pro-preview,TokensUsed_gemini-3-pro-preview,TokensUsedCompletion_gemini-3-pro-preview,TokensUsedReasoning_gemini-3-pro-preview,pred_gpt-5.2-2025-12-11-medium,Latency_gpt-5.2-2025-12-11-medium,TokensUsed_gpt-5.2-2025-12-11-medium,TokensUsedCompletion_gpt-5.2-2025-12-11-medium,TokensUsedReasoning_gpt-5.2-2025-12-11-medium
13,Pedagogy Benchmark Luganda,Kumanya ki okusooka okwetaagisa abayizi okukola ku ndowooza ya VSEPR mu molekyo ez'enjawulo?,"Omugatte gw'akanyigirizi ka dipole oguvaamu molekyu ez'enjawulo
","Eteeka lya duet ne octet ku nkola y'obuziba.
","Okukiikirira empandiika z'ebisengeke bya kemiko ebiri mu molekyuulu
","Akakodyo ka valence shell electron pair repulsion (VSEPR) nga kakozesebwa ku molekyu ez'enjawulo.
",,,,C,Science,Student understanding,Secondary,,,,53,D,1.7344672999970498,1639,3,0,D,0.9839950000023236,1638,2,0,B,4.839609700000437,1726,276,256,D,2.282561699998041,1932,219,250,D,17.405176799999026,2037,325,,C,2.4581455000006827,1841.0,4.0,0.0,C,4.251945099997101,2293,1,664,B,1.2602094000030777,1629,1,,C,10.772522800019942,2342,1.0,713,C,4.918289499997627,1602,152,142
14,Pedagogy Benchmark Luganda,"Mu kiseera ky’ekibiina ku nkola enkulu eza obutaffaali bw’amasannyalaze ag’ekkemiko mu makolero, pulofeesa ayogera ku butaffaali bw’amasannyalaze ag’ekkemiko obutundibwa obuyitibwa akataffaali ka Downs, akasobozesa okufuna sodiyamu ow’ekyuma nga tuyita mu kuyabuluza omunnyo gwa sodiyamu kkalolayidi (NaCl) oguyengeddwa. Ku bino ebikulu wammanga, kiki ekisobola okulabwa mu kiseera akataffaali ka Downs we kakolera?",Sodiyamu ey’ekyuma eterekebwa ku anode olw’okukendeeza kwa ayoni za sodiyamu,Ggaasi ya chlorine efulumizibwa ku cathode okuyita mu oxidation ya chloride ions.,Ayoni za kkalolayidi zigenda ku anode okwoksidizibwa,Obutaffaali bwa sodium butambula okudda ku cathode olw'enkendeeza yaabwo.,,,,C,Science,Teaching strategies,Secondary,,,,57,B,1.1180834999977378,1758,3,0,B,1.0825007999956142,1757,2,0,C,5.445600300001388,2022,467,448,D,7.525282499998866,2445,603,654,C,13.287251999994623,2211,368,,C,2.309352200005378,1983.0,4.0,0.0,C,5.119573099997069,2698,1,950,A,1.0126461000036215,1748,1,,C,21.89084329997422,3396,1.0,1648,C,4.719140900007915,1654,99,89
15,Pedagogy Benchmark Luganda,"Omusomesa alimu kukola ebyokuyiga ku nkula y'ensi n'abaana be ab'ekibiina ekyokuna, ayagala okulaga ebika bya obububi ebikola ensi nga akozesa ekintu ekyabulijjo. Bintu ki ku bino wamanga ebisobola okozesebwa okuwa entadikwa ennungi ku kigenda okusomesebwa?",Eggi eli kaluba nga fumbe,Kadole ka Russia akalimu budole obulala,Ebibala ebirimu ebitundu tundu,"Akapiira ak'ebbombo
",,,,A,Science,Teaching strategies,Primary,,,,61,D,1.833364700003585,1645,3,0,C,0.487554800005455,1644,2,0,A,6.25495840000076,2047,595,576,B,18.31649499999912,2468,742,871,A,13.825007999999798,2102,375,,B,2.4697812000013077,1848.0,4.0,0.0,A,5.522877399998833,2609,1,974,C,1.111191800002416,1635,1,,A,8.860565199982375,2183,1.0,548,A,3.6608549999655216,1576,124,114
16,Pedagogy Benchmark Luganda,"Omusomesa yateekawo ekibuuzo kino mu kigezo ky'ebikwata ku ntambula y'ebintu: “Omubiri gutambula okusinziira ku kibalangulo kino: x=25+40t−5t2 (nga t ali mu sikonda ate x ali mu mita). Omubiri gunaaba gutambudde mita mmeka nga wayiseewo 5 s ne 6 s?” Bw’amaze okukebera eby’okuddamu, omusomesa akiraba nti abayizi be tebakimanyi nti, okusinziira ku by’okuddamu byabwe, omubiri guba gutambudde obuwanvu butono mu kiseera kiwanvu, kubanga abasinga obungi baddamu nti omubiri gutambudde mita 100 mu sikonda 5 ate mita 85 mu sikonda 6. Ku ngeri eziri wammanga, engeri ki esinga okuba nga yaleetera abayizi abasinga obungi okuzibuwalirwa?
","Obuzibu obuli mu kusoma ebigambo ebikozesebwa mu bibuuzo bya kinemaatika
","Obutabaawo kwetendeka mu kumanya ebintu ebirambiddwa n'okukozesa ennyingo ezisaana.
","Okuteebereza okutali kukkufu ku nsonga ezitali nnamba eziva mu bibuuzo bya kinemattika.
","Obunafu mu kukulakulanya obukugu mu kubala okusobola okwaŋŋanga okugonjoola ebizibu bya kinemattika
",,,,C,Science,Student understanding,Secondary,,,,77,B,0.8766219000026467,1880,3,0,B,0.5083200000008219,1879,2,0,C,5.589228799995908,2124,467,448,,238.3253474000012,18359,16384,15150,B,24.360858799998823,2331,358,,C,2.4787314999994123,2110.0,4.0,0.0,C,9.478175299998838,3796,1,1926,B,1.0515233999976772,1870,1,,C,19.44327340001473,3503,,1634,C,4.663544900016859,1862,205,195
17,Pedagogy Benchmark Luganda,"Mu ngeri zino wammanga, lwaki olutalo olulaga omulandira ogutandikira ku birowoozo ebya bulijjo okudda ku birowoozo ebikalu ennyo?","2 - 4 - 1 - 3
","1 - 3 - 4 - 2
","2 - 3 - 1 - 4
","4 - 2 - 1 - 3
",,,,C,Science,Teaching strategies,Secondary,,,,78,B,1.3575823999999557,1603,3,0,B,0.4876961000045412,1602,2,0,B,15.723223499997404,2977,1555,1536,D,4.481256900005974,1679,1,0,B,21.431968099997903,2284,607,,C,2.561148000000685,1799.0,4.0,0.0,C,9.593163799996546,3415,1,1822,C,1.0282101999982842,1593,1,,A,125.36472110002067,12574,1.0,10981,D,9.315928199968766,1822,400,390
18,Pedagogy Benchmark Luganda,"Mu mutendera gw'essomo ""akaziba n'obuziizi bwako,"" omusomesa asaba abayizi be ab'omwaka ogw'okuna mu siniya okukola omulimu guno: ""Mukubaganye ebirowoozo ku makulu g'okuyiga ku buzziizi bwa akaziba n'engeri gye buyinza okukozesebwa mu tekinologiya, nga mulowooza ku ky'okuba nti, okuva ku ebyo ebibeerawo mu buzziizi bwa atomu obw'ebintu ebimu, kisoboka okufuna amasannyalaze era n'okukulaakulanya tekinologiya asobola okuganyula abantu. Naddala, mukubaganye ebirowoozo ku ky'okuzimba amasannyalaze ga nukiriya mu ggwanga lyaffe okusobola okukola amasannyalaze."" Kigendererwa ki eky'okusoma ekisobola okutuukibwako nga omulimu ogusabiddwa gukoleddwa?","Nnyonnyola enkula y'akaziba n'obuziizi bwako, ng'otegeera enjawulo wakati w'ebintu eby'enjawulo n'obuziba bwabyo, n'empalirizo ezisookerwako ezizingirwamu, wamu n’amaanyi ag’omusingi agalimu.","Yamba abayizi okutegeera obuziba bw'akaziba n'obuziizi bwako, n'okutegeera emirimu gy'abasayansi b'obuziizi",Kubiriza abayizi okwagala okukwataganya  n'okusoma kw'obuziba n'enkozesa yabyo mu tekinologiya ne mubulamu obwa bulijjo.,Kulaakulanya mu bayizi obusobozi okunnyonnyola engeri amasoboza(amaanyi) gye gafunibwa okuva mu buziizi bwa atomu n'engeri amasoboza(amaanyi) gano gye gayinza okufuulibwamu amasannyalaze.,,,,C,Science,Teaching strategies,Secondary,,,,81,D,0.8140723999968031,1999,3,0,D,0.4740741000059643,1998,2,0,D,8.930011199998262,2477,723,704,D,3.825515799995628,2627,523,703,D,10.612917900005414,2457,367,,D,2.4289709000004223,2252.0,4.0,0.0,C,6.994076800001494,3306,1,1317,D,0.8243194000024232,1989,1,,C,12.21331849996932,2793,1.0,804,C,5.419538899965119,1932,178,168
19,Pedagogy Benchmark Luganda,"Omusomesa wa pulayimale yalagidde abayizzi be ab'ekibiina eky'okusattu okusoma nga bwebaddamu olugero olumpi olulagibbwa ku lutimbe. Mukusooka, bali bakusoma kinnomu atte mukasirise, oluvanyumma, baatule, nga bagoberera obubonero obwempandika. Kika ki eky'okuyiga ekifuna mu mu bikolwa ebilagiddwa?",Okukuguka mu byensoma,Okuzzamu ammanyi okusoma okw'okutegera,Okwekeneenya enjatula y'ebigambo,Okummanya okusoma okw'obubonero,,,,D,Science,Assessment,Secondary,,,,84,B,1.632512500000303,1667,3,0,D,0.9910397000057856,1666,2,0,D,4.657084999998915,1874,403,384,A,12.988016399998742,2175,421,417,D,12.48942750000424,2053,306,,D,2.527853100000357,1874.0,4.0,0.0,A,3.395991299999878,2248,1,591,B,1.038529000004928,1657,1,,A,14.168866300024092,2592,1.0,935,D,4.209573999978602,1573,102,92
20,Pedagogy Benchmark Luganda,Ku sitaamenti zino wammanga eriwa erina endowooza enkyamu abayizi gye balina ekwata ku kwekolako mu nkola ya sayansi w'amasoboza(thermadynamic processes)?,"Abayizi balowooza nti okweyongera mu bwetaavu (entropy) kiyamba mu kwetereera.
","Abayizi bagamba nti ebintu ebitayinza kulemesa nkola za butonde bisobola okuba nga byeyongera okwewooya.
","Abayizi balowooza nti ebintu ebigenda nga byokka na bwabyo bigenda mangu nnyo.
","Abayizi balowooza nti ebintu ebyetereera byesigama ku bwoki n’okusaasaanya amasoboza.
",,,,C,Science,Student understanding,Secondary,,,,87,D,1.6719674999985727,1685,3,0,D,1.0515446999997948,1684,2,0,C,4.645887499995297,1892,403,384,C,7.019991900000605,2108,343,444,A,11.882632500004547,2139,372,,C,2.5598793999961345,1894.0,4.0,0.0,C,5.532088599997223,2583,1,908,A,0.9450352000058048,1675,1,,C,11.958494100021198,2618,1.0,943,C,5.356196400010958,1717,228,218
21,Pedagogy Benchmark Luganda,"Omusomesa ayagala ekibiina kye okumanya etteeka lya Hund erikwata ku bungi obusinga obuyinza okubaawo.
Kati ku mirimu gino wammanga, gumu ku gyo gwe gwandisinze okulaga obanga abayizi batuuse ku kiruubirirwa kino?",Okuwandiika endagiriro z'amasannyalaza ag'ensi yonna ez'atomi ez'enjawulo nga ziri mu mbeera ey'ettaka.,Okuwandiika empandiika enfunze eyebyamasenyalaze  ez’enjawulo mu atomu nga ziri mu mbeera ey’obutebenkevu.,Okugeraageranya okusaasanya kw'obusannyalaza mu bifananyi  ebyekusa okwetoloola akakungulu k'amasannyalaze agali ku ngulu mu atomu ez'enjawulo.,Okugerageranya endabika y'kungulu  y’amasannyalaze ag’ebweru aga atomu ez’enjawulo nga ziri mu mbeera eya bulijjo n’eya kusisimuka.,,,,C,Science,Assessment,Secondary,,,,88,C,0.7345343999986653,1770,3,0,C,1.328454700000293,1769,2,0,C,5.192345399998885,2031,467,448,A,5.824030999996467,2206,365,452,C,9.50771839999652,2169,322,,C,2.3235627000030945,1996.0,4.0,0.0,C,5.194334299994807,2647,1,887,C,1.008190900000045,1760,1,,C,12.12969480000902,2634,1.0,874,C,3.525341000000481,1676,112,102
22,Pedagogy Benchmark Luganda,"Mu kibiina eky'omunaana, mu kitundu ekikwata ku butonde bw'ekintu, omusomesa abasomesa ku butonde bw'akaziba. Okukakasa oba ng'abayizi bategedde enjawulo eri wakati w'omuwendo gw'akaziba n'omuwendo gw'ekintu, abasaba okulaga omuwendo gwa konta, obusannyalazo, n'obutonniinya obuli mu atomu ya aluminiamu, ng'ate aluminiamu alina omuwendo gw'akaziba 13 n'omuwendo gw'ekintu 27. Abayizi abawerako balaga bwe bati: Aluminiamu alina obusannyalazo 27, konta 13, n'obutonniinya 14. Kusoomooza ki abayizi kwe boolekagana nakwo mu kuyiga kwabwe okukwata ku nsonga eno?",Okukkiriza nti omuwendo gwa elekitooni gwenkanankana n'omuwendo gwa konta ne nampawengwa.,Nga tebategedde nti namba y'akaziba etambulira wamu n'omuwendo gw'amasannyalaze ag'ekika kya pozitiivu,Okukkiriza nti namba y'obuzito etegereza omuwendo gwa chaji eri positivu ne negativu,Obutamanya nti omuwendo gw'obusannyalazo gwenkanankana n'omuwendo gw'obusannyalazo obw'ekibogwe n'obw'ekisannyalazo.,,,,D,Science,Student understanding,Secondary,,,,97,B,0.6648232000006828,1889,3,0,D,0.4651025999992271,1888,2,0,A,11.255966400000034,2763,1106,1088,B,49.29486710000492,3965,1987,2025,D,16.06797149999329,2323,358,,C,2.722462599995197,2112.0,4.0,0.0,A,5.634752600002685,3108,1,1229,A,0.921943100001954,1879,1,,A,15.519316900055856,3093,1.0,1214,D,7.575546500040218,2011,354,344
